x,y,dtw,domain
-33.489444732666016,66.67586517333984,49,image
-39.39469528198242,61.92658996582031,50,image
-36.620174407958984,67.01570129394531,51,image
-29.04500961303711,65.53215026855469,52,image
-39.94559097290039,46.998653411865234,0,image
-45.17621612548828,44.336544036865234,0,image
-38.32249450683594,47.56133270263672,0,image
-39.828338623046875,47.16575241088867,0,image
-38.411136627197266,47.424652099609375,0,image
-32.035865783691406,51.30108642578125,0,image
-31.158206939697266,50.75274658203125,0,image
-27.585174560546875,52.3855094909668,0,image
-26.881013870239258,52.50993728637695,0,image
-21.062124252319336,51.956172943115234,0,image
-14.716134071350098,48.4961051940918,0,image
-14.56740665435791,48.31041717529297,0,image
-14.593417167663574,48.369598388671875,0,image
-14.69587230682373,48.81749725341797,0,image
-14.423303604125977,48.28184509277344,0,image
-12.946337699890137,40.24945068359375,0,image
-16.161741256713867,24.599674224853516,0,image
-16.83695411682129,23.868886947631836,0,image
-17.131803512573242,23.546939849853516,0,image
-17.219676971435547,23.652944564819336,0,image
-17.327802658081055,23.566478729248047,0,image
-24.68275260925293,17.30471420288086,0,image
-25.004558563232422,17.259706497192383,0,image
-51.041969299316406,0.6994383335113525,1,image
-51.19291305541992,0.679896354675293,2,image
-55.049278259277344,-2.580090045928955,3,image
-54.9090576171875,-3.65110445022583,3,image
-58.60746383666992,-6.497918605804443,4,image
-60.48115539550781,-10.498275756835938,5,image
-60.79336166381836,-12.265398025512695,6,image
-61.89323806762695,-17.23955726623535,6,image
-60.14662551879883,-32.08738327026367,7,image
-52.090110778808594,-31.330217361450195,7,image
-58.43278503417969,-34.52293014526367,7,image
-53.78489303588867,-43.19746398925781,8,image
-44.923343658447266,-50.52841567993164,9,image
-45.6745491027832,-54.3192138671875,10,image
-41.28398895263672,-62.96072006225586,11,image
-34.221622467041016,-68.77735900878906,12,image
-37.22247314453125,-66.78340148925781,14,image
-1.9863332509994507,-49.750370025634766,15,image
4.08742094039917,-57.03285217285156,16,image
8.137866973876953,-54.77214813232422,18,image
15.664467811584473,-47.74666213989258,19,image
19.023061752319336,-42.77286911010742,21,image
22.221128463745117,-41.0368766784668,22,image
19.636791229248047,-31.137916564941406,24,image
23.786558151245117,-31.402713775634766,25,image
19.68796730041504,-29.810800552368164,26,image
12.44368839263916,-25.863666534423828,27,image
-28.239299774169922,-5.019944667816162,28,image
-28.77146339416504,-5.112117290496826,29,image
-40.7958869934082,0.8530939817428589,31,image
-49.87263488769531,33.55324935913086,0,image
-49.54084014892578,33.765113830566406,0,image
-49.355079650878906,33.880035400390625,0,image
-38.0624885559082,42.30469512939453,0,image
-37.9564208984375,42.39260482788086,0,image
-32.43959426879883,45.52748107910156,0,image
-23.23381805419922,43.557254791259766,0,image
-21.936695098876953,41.760379791259766,0,image
-21.957700729370117,39.69116973876953,0,image
-21.376239776611328,39.50170135498047,0,image
-22.348623275756836,37.274967193603516,0,image
-22.47672462463379,34.750850677490234,0,image
-29.443098068237305,27.778011322021484,0,image
-29.336414337158203,27.84084129333496,0,image
-30.356931686401367,27.422130584716797,1,image
-46.634376525878906,-6.4236297607421875,2,image
-46.66693878173828,-9.937439918518066,3,image
-47.66677474975586,-9.218700408935547,3,image
-49.2357177734375,-9.251797676086426,4,image
-47.712520599365234,-13.293514251708984,5,image
-54.27499771118164,-16.28010368347168,6,image
-50.99137878417969,-21.246417999267578,6,image
-51.042259216308594,-22.474700927734375,7,image
-47.785377502441406,-25.720712661743164,7,image
-46.406211853027344,-28.597671508789062,7,image
-50.781646728515625,-33.805511474609375,7,image
-48.22807693481445,-44.0858154296875,8,image
-45.02859115600586,-42.412139892578125,9,image
-39.58301544189453,-48.72768783569336,10,image
-35.528350830078125,-56.408233642578125,11,image
-33.414241790771484,-59.82635498046875,12,image
-26.51393699645996,-66.55616760253906,13,image
-17.626558303833008,-67.95655822753906,14,image
-17.847776412963867,-67.77182006835938,15,image
-3.4009833335876465,-70.7983627319336,16,image
7.129764080047607,-63.988250732421875,17,image
14.610641479492188,-60.07999801635742,18,image
17.91288185119629,-58.5203742980957,18,image
25.973609924316406,-55.891292572021484,19,image
25.340112686157227,-55.32887649536133,20,image
39.03709030151367,-43.61085891723633,21,image
39.44016647338867,-43.298160552978516,22,image
40.94342041015625,-42.659217834472656,23,image
38.54511642456055,-26.743038177490234,24,image
28.667512893676758,-18.88020896911621,25,image
26.127378463745117,-17.328580856323242,26,image
22.15947723388672,-14.046717643737793,27,image
-27.77933120727539,9.075695991516113,29,image
-30.32395362854004,9.697808265686035,30,image
-36.26035690307617,9.959246635437012,31,image
-47.249267578125,15.875578880310059,32,image
-52.37599182128906,17.971847534179688,33,image
-52.35795211791992,17.742856979370117,34,image
-57.75020980834961,22.833345413208008,38,image
-17.484424591064453,46.52238845825195,0,image
-17.527042388916016,41.6981315612793,0,image
-15.741503715515137,37.44722366333008,0,image
-16.34769058227539,31.190876007080078,0,image
-19.52886390686035,26.605003356933594,0,image
-21.11395263671875,24.78976058959961,0,image
-25.66353988647461,22.532018661499023,0,image
-29.343097686767578,19.265037536621094,1,image
-52.42829132080078,-0.1134708970785141,2,image
-52.47085952758789,-0.05669611692428589,2,image
-52.82516860961914,-0.0914195328950882,2,image
-56.374290466308594,-4.915057182312012,3,image
