x,y,dtw,domain
1.8645840883255005,0.5587403178215027,18,image
1.9928547143936157,0.13112229108810425,19,image
2.501065731048584,-0.2596922218799591,21,image
2.6161813735961914,-1.1204588413238525,22,image
2.881700038909912,-2.2611725330352783,24,image
2.736880302429199,-2.252412796020508,25,image
2.949502468109131,-2.4711222648620605,26,image
3.287423849105835,-2.6267080307006836,27,image
3.5957322120666504,-3.3344879150390625,28,image
3.698963165283203,-3.4215734004974365,29,image
4.2500104904174805,-3.774050712585449,31,image
4.777286052703857,-2.763812780380249,0,image
5.6221022605896,-2.2519357204437256,0,image
5.879150867462158,-2.117173671722412,0,image
6.092445373535156,-1.3697783946990967,0,image
6.265669345855713,-1.2734289169311523,0,image
6.830463409423828,-0.6153542399406433,0,image
6.132597923278809,0.5645391941070557,0,image
6.001282691955566,1.2372733354568481,0,image
5.579747676849365,1.4388071298599243,0,image
5.812429904937744,1.774535059928894,0,image
5.563874244689941,2.1144237518310547,0,image
5.322312831878662,2.6811230182647705,0,image
4.317737579345703,3.275192975997925,0,image
4.478983402252197,3.255610466003418,0,image
3.3321239948272705,3.6077468395233154,1,image
3.337590456008911,3.842987537384033,2,image
0.586866557598114,3.9235193729400635,3,image
1.8621193170547485,4.044200897216797,3,image
2.725018262863159,4.22777795791626,4,image
0.7438487410545349,3.607367992401123,5,image
2.449859142303467,3.8012709617614746,6,image
1.530737280845642,3.622863292694092,6,image
1.4886773824691772,3.6090314388275146,7,image
0.4967099726200104,3.525848865509033,7,image
0.9569304585456848,3.5757267475128174,7,image
1.6247681379318237,3.635960102081299,7,image
2.020848035812378,3.725341558456421,8,image
1.3659477233886719,3.4801557064056396,9,image
1.0175278186798096,3.357987642288208,10,image
1.300868034362793,3.5195844173431396,11,image
1.657413125038147,3.7047595977783203,12,image
1.3822273015975952,3.715243339538574,13,image
1.4406743049621582,2.7321159839630127,14,image
1.4158130884170532,2.8705358505249023,15,image
1.281762719154358,1.7925900220870972,16,image
1.3152713775634766,1.371995210647583,17,image
1.3981051445007324,0.43819719552993774,18,image
1.5109800100326538,0.1828427016735077,18,image
1.4022942781448364,-0.6724970936775208,19,image
1.3989125490188599,-0.8238107562065125,20,image
1.6382654905319214,-1.2337429523468018,21,image
1.5049291849136353,-1.5187593698501587,22,image
1.2181214094161987,-1.719856858253479,23,image
1.3219938278198242,-2.5999691486358643,24,image
1.4264588356018066,-3.161247730255127,25,image
1.4265522956848145,-3.109102487564087,26,image
1.983388900756836,-3.3853843212127686,27,image
1.7676784992218018,-3.3713884353637695,29,image
1.8764233589172363,-3.2749133110046387,30,image
3.3124351501464844,-3.4693853855133057,31,image
4.220098972320557,-3.486868381500244,32,image
5.105177402496338,-3.8019182682037354,33,image
4.995962619781494,-3.8209683895111084,34,image
5.9861159324646,-4.1116180419921875,38,image
7.093987464904785,1.4473955631256104,0,image
6.840025424957275,2.142362117767334,0,image
6.885908603668213,2.5325376987457275,0,image
6.739375114440918,3.4479072093963623,0,image
6.584936618804932,3.8777918815612793,0,image
6.285253047943115,4.08101749420166,0,image
6.150548934936523,4.597607135772705,0,image
5.662632942199707,4.65826416015625,1,image
5.040733337402344,4.987943172454834,2,image
5.072756767272949,5.0348029136657715,2,image
5.131956577301025,5.080314636230469,2,image
4.708193302154541,4.796894550323486,3,image
4.390109062194824,4.6683807373046875,4,image
4.241795539855957,4.407158374786377,5,image
4.335309982299805,4.5445051193237305,6,image
3.4601199626922607,4.108626365661621,6,image
3.1747798919677734,3.7835638523101807,6,image
3.549675226211548,4.116771697998047,7,image
3.6261818408966064,3.9873993396759033,7,image
3.2094085216522217,3.7529923915863037,8,image
3.2590134143829346,3.990525007247925,9,image
3.06398344039917,3.6339352130889893,10,image
2.8790483474731445,3.5766239166259766,11,image
2.8745315074920654,3.4723238945007324,12,image
2.7824301719665527,3.1997430324554443,13,image
2.6926963329315186,2.6487367153167725,14,image
2.511686086654663,2.344541311264038,15,image
2.447453737258911,1.661016583442688,16,image
2.5338501930236816,0.8186377286911011,17,image
2.4629552364349365,0.2768166959285736,18,image
2.2215182781219482,-0.6500781774520874,19,image
1.9499602317810059,-1.3955693244934082,20,image
1.7714300155639648,-2.1226940155029297,21,image
1.899269938468933,-2.0792300701141357,22,image
2.5743744373321533,-2.3470780849456787,23,image
2.9362168312072754,-2.7980003356933594,24,image
3.0546603202819824,-3.0105345249176025,26,image
3.5874664783477783,-3.4721195697784424,27,image
3.8731882572174072,-3.464099884033203,28,image
4.081061363220215,-3.7779064178466797,31,image
4.060020446777344,-3.861858606338501,31,image
4.99047327041626,-4.177204608917236,32,image
5.4849748611450195,-4.398914813995361,33,image
6.191109657287598,-4.412384510040283,35,image
6.591790199279785,-4.461951732635498,38,image
6.700646877288818,-4.25717830657959,39,image
6.467556953430176,-4.093839168548584,40,image
6.42091703414917,-3.7938380241394043,40,image
7.486913204193115,-3.16080641746521,41,image
7.686758041381836,-2.6120047569274902,42,image
